project,sentence_num,label,in_gold,in_result,swattr_status,gold_elements,result_elements,text
jabref,1,arch,True,True,has_TP,model;gui;logic,model;gui;logic,"We have been successfully transitioning from a spaghetti to a more structured architecture with the model in the center, and the logic as an intermediate layer towards the gui which is the outer shell."
jabref,2,arch,True,True,has_TP,cli;preferences,cli;preferences,There are additional utility packages for preferences and the cli.
jabref,3,arch,False,False,TN,,,The dependencies are only directed towards the center.
jabref,4,impl,True,True,has_TP,model;gui;logic,model;gui;logic,"We have JUnit tests to detect violations of the most crucial dependencies (between logic, model, and gui), and the build will fail automatically in these cases."
jabref,5,arch,True,True,has_TP,model,logic;model,"The model represents the most important data structures (BibDatases, BibEntries, Events, and related aspects) and has only a little bit of logic attached."
jabref,6,arch,True,True,has_TP,logic;model;gui,logic;model;gui,"The logic is responsible for reading/writing/importing/exporting and manipulating the model, and it is structured often as an API the gui can call and use."
jabref,7,arch,True,True,has_TP,gui,gui;preferences,Only the gui knows the user and his preferences and can interact with him to help him solve tasks.
jabref,8,arch,False,False,TN,,,"For each layer, we form packages according to their responsibility, i.e., vertical structuring."
jabref,9,arch,True,True,has_TP,logic;model,logic;model,The model should have no dependencies to other classes of JabRef and the logic should only depend on model classes.
jabref,10,arch,True,True,has_TP,cli,cli,The cli package bundles classes that are responsible for JabRef’s command line interface.
jabref,11,arch,True,True,has_TP,preferences,preferences,The preferences represents all information customizable by a user for her personal needs.
jabref,12,arch,True,True,has_TP,model,model,We use an event bus to publish events from the model to the other layers.
jabref,13,arch,False,False,TN,,,This allows us to keep the architecture but still react upon changes within the core in the outer layers.
bigbluebutton,1,meta,False,False,TN,,,High-level architecture.
bigbluebutton,2,meta,False,False,TN,,,The following diagram provides a high-level view of how BigBlueButton's components work together.
bigbluebutton,3,meta,False,False,TN,,,We'll break down each component in more detail below.
bigbluebutton,4,meta,True,True,has_TP,HTML5 Client,HTML5 Client,HTML5 client.
bigbluebutton,5,arch,True,True,has_TP,HTML5 Client,WebRTC-SFU;HTML5 Client,"The HTML5 client is a single page, responsive web application that is built upon the following components, React.js for rendering the user interface in an efficient manner, WebRTC for sending/receiving audio and video."
bigbluebutton,6,arch,True,True,has_TP,HTML5 Server;HTML5 Client,HTML5 Server;HTML5 Client,"The HTML5 client connects directly with the BigBlueButton server over port 443 (SSL), from loading the BigBlueButton client to making a web socket connection."
bigbluebutton,7,arch,False,False,TN,,,These connections are all handled by nginx.
bigbluebutton,8,arch,True,True,has_TP,HTML5 Server,HTML5 Server,The HTML5 server sits behind nginx.
bigbluebutton,9,arch,True,True,has_TP,HTML5 Server;HTML5 Client,HTML5 Server,The HTML5 server is built upon Meteor.js in ECMA2015 for communication between client and server and upon MongoDB for keeping the state of each BigBlueButton client consistent with the BigBlueButton server.
bigbluebutton,10,arch,True,True,has_TP,HTML5 Server;HTML5 Client,HTML5 Server,"The MongoDB database contains information about all meetings on the server and, in turn, each client connected to a meeting."
bigbluebutton,11,arch,True,False,FN_only,HTML5 Client,,"Each user's client is only aware of the their meeting's state, such the user's public and private chat messages sent and received."
bigbluebutton,12,arch,True,True,has_TP,HTML5 Server;HTML5 Client,HTML5 Server,The client side subscribes to the published collections on the server side.
bigbluebutton,13,arch,True,True,has_TP,HTML5 Server;HTML5 Client,HTML5 Server,Updates to MongoDB on the server side are automatically pushed to MiniMongo on the client side.
bigbluebutton,14,meta,True,True,has_TP,HTML5 Client,HTML5 Client,The following diagram gives an overview of the architecture of the HTML5 client and its communications with the other components in BigBlueButton.
bigbluebutton,15,meta,True,True,has_TP,HTML5 Server,HTML5 Server,Scalability of HTML5 server component.
bigbluebutton,16,impl,False,False,TN,,,BigBlueButton 2.2 used a single nodejs process for all client-side communication.
bigbluebutton,17,impl,False,False,TN,,,"This process would start to bottleneck (the nodejs process, running on a single CPU core, started to use 100% of the core)."
bigbluebutton,18,impl,False,True,FP_only,,HTML5 Server,"Because nodejs was running on a single CPU core, having a 16 or 32 CPU core server for BigBlueButton 2.2 failed to yield much additional scalability."
bigbluebutton,19,arch,True,False,FN_only,HTML5 Server;HTML5 Client,,BigBlueButton 2.3 moves away from a single nodejs process for bbb-html5 towards multiple nodejs processes handling incoming messages from clients.
bigbluebutton,20,arch,True,False,FN_only,HTML5 Server,,This means that bbb-html5 could use multiple CPU cores for processing messages and handling browser sessions (each nodejs process runs on a single CPU core).
bigbluebutton,21,impl,True,False,FN_only,HTML5 Server,,"As of 2.3-alpha-7, bbb-html5 uses 2 ""frontend"" and two ""backend"" processes (this value is configurable in bbb-html5-with-roles.conf, see Configuration Files)."
bigbluebutton,22,impl,False,False,TN,,,A restart of BigBlueButton is required if you make changes to these files.
bigbluebutton,23,meta,False,False,TN,,,The breakdown of functionality between front-end and back-end is as follows.
bigbluebutton,24,impl,False,False,TN,,,Frontends receive the ValidateAuthTokenResp event to complete authentication.
bigbluebutton,25,impl,False,False,TN,,,Frontends collect subscriptions and publishers.
bigbluebutton,26,impl,True,True,has_TP,Apps,Apps,Frontends receive other DDP events including method calls to send events to akka-apps.
bigbluebutton,27,impl,False,False,TN,,,"Frontends handle completely the Streamer redis events, i.e., Cursor, Annotations, External video share."
bigbluebutton,28,impl,False,False,TN,,,Frontends still require MeetingStarted and MeetingEnded events to create/destroy per-meeting event processing queues.
bigbluebutton,29,impl,False,False,TN,,,Backends handle all the non-streamer events.
bigbluebutton,30,arch,True,True,has_TP,BBB web,BBB web,"If more than one backend is running, bbb-web splits the load in round-robin fashion by assigning an instanceId."
bigbluebutton,31,impl,False,False,TN,,,So individual backends only process redis events for the meetings matching the associated instanceId.
bigbluebutton,32,impl,False,False,TN,,,"ValidateAuthTokenResp is passed to backends as well, which is needed for the cases where you only have a backend, no frontends - for example dev environments that do not need to care about scaling."
bigbluebutton,33,impl,False,False,TN,,,"When you use sudo bbb-conf --setip <hostname> or sudo bbb-conf --restart, bbb-conf will run /etc/bigbluebutton/bbb-conf/apply-config.sh between shutdown and restart of the BigBlueButton processes."
bigbluebutton,34,impl,False,False,TN,,,"In this way, you can change configuration values of BigBlueButton, or use some of the helper functions in apply-lib.sh."
bigbluebutton,35,meta,False,False,TN,,,"See ""Automatically apply configuration changes on restart""."
bigbluebutton,36,meta,True,True,has_TP,BBB web,BBB web,BBB web.
bigbluebutton,37,arch,True,False,FN_only,BBB web,,BigBlueButton web application is a Java-based application written in Scala.
bigbluebutton,38,arch,True,False,FN_only,BBB web,,It implements the BigBlueButton API and holds a copy of the meeting state.
bigbluebutton,39,arch,True,True,has_TP,HTML5 Server,HTML5 Server,The BigBlueButton API provides a third-party integration (such as the BigBlueButtonBN plugin for Moodle) with an endpoint to control the BigBlueButton server.
bigbluebutton,40,other,False,False,TN,,,Every access to BigBlueButton comes through a front-end portal (we refer to as a third-party application).
bigbluebutton,41,other,False,False,TN,,,"BigBlueButton integrates Moodle, Wordpress, Canvas, Sakai, and others (see third-party integrations)."
bigbluebutton,42,other,False,False,TN,,,BigBlueButton comes with its own front-end called Greenlight.
bigbluebutton,43,other,False,False,TN,,,"When using a learning management system (LMS) such as Moodle, teachers can setup BigBlueButton rooms within their course and students can access the rooms and their recordings."
bigbluebutton,44,other,False,False,TN,,,The BigBlueButton comes with some simple API demos.
bigbluebutton,45,other,False,False,TN,,,"Regardless of which front-end you use, they all use the API under the hood."
bigbluebutton,46,meta,True,True,has_TP,Redis PubSub,Redis PubSub,Redis PubSub.
bigbluebutton,47,arch,True,True,has_TP,Redis PubSub;HTML5 Server,Redis PubSub;HTML5 Server,Redis PubSub provides a communication channel between different applications running on the BigBlueButton server.
bigbluebutton,48,meta,True,True,has_TP,Redis DB,Redis DB,Redis DB.
bigbluebutton,49,arch,True,True,has_TP,Redis DB,Redis DB,"When a meeting is recorded, all events are stored in Redis DB."
bigbluebutton,50,arch,False,False,TN,,,"When the meeting ends, the Recording Processor will take all the recorded events as well as the different raw (PDF, WAV, FLV) files for processing."
bigbluebutton,51,meta,True,True,has_TP,Apps,Apps,Apps akka.
bigbluebutton,52,arch,True,True,has_TP,Apps,Apps,BigBlueButton Apps is the main application that pulls together the different applications to provide real-time collaboration in the meeting.
bigbluebutton,53,arch,True,False,FN_only,Apps,,"It provides the list of users, chat, whiteboard, presentations in a meeting."
bigbluebutton,54,meta,True,True,has_TP,Apps,Apps,Below is a diagram of the different components of Apps Akka.
bigbluebutton,55,impl,False,False,TN,,,The meeting business logic is in the MeetingActor.
bigbluebutton,56,impl,False,False,TN,,,This is where information about the meeting is stored and where all messages for a meeting is processed.
bigbluebutton,57,meta,True,True,has_TP,FSESL,FSESL,FSESL akka.
bigbluebutton,58,arch,True,True,has_TP,FreeSWITCH,FreeSWITCH,We have extracted out the component that integrates with FreeSWITCH into it’s own application.
bigbluebutton,59,arch,True,True,has_TP,FreeSWITCH,FreeSWITCH,This allows others who are using voice conference systems other than FreeSWITCH to easily create their own integration.
bigbluebutton,60,arch,True,True,has_TP,Redis PubSub;Apps;FSESL,Redis PubSub;FreeSWITCH;Apps,Communication between apps and FreeSWITCH Event Socket Layer (fsels) uses messages through redis pubsub.
bigbluebutton,61,meta,True,True,has_TP,FreeSWITCH,FreeSWITCH,FreeSWITCH.
bigbluebutton,62,other,True,True,has_TP,FreeSWITCH,FreeSWITCH,We think FreeSWITCH is an amazing piece of software for handling audio.
bigbluebutton,63,arch,True,True,has_TP,FreeSWITCH,FreeSWITCH,FreeSWITCH provides the voice conferencing capability in BigBlueButton.
bigbluebutton,64,arch,False,False,TN,,,Users are able to join the voice conference through the headset.
bigbluebutton,65,arch,True,True,has_TP,WebRTC-SFU,WebRTC-SFU,Users joining through Google Chrome or Mozilla Firefox are able to take advantage of higher quality audio by connecting using WebRTC.
bigbluebutton,66,arch,True,True,has_TP,FreeSWITCH,FreeSWITCH,FreeSWITCH can also be integrated with VOIP providers so that users who are not able to join using the headset will be able to call in using their phone.
bigbluebutton,67,meta,True,True,has_TP,kurento;WebRTC-SFU,kurento;WebRTC-SFU,Kurento and WebRTC-SFU.
bigbluebutton,68,arch,True,True,has_TP,kurento,HTML5 Server;kurento,Kurento Media Server KMS is a media server that implements both SFU and MCU models.
bigbluebutton,69,arch,True,False,FN_only,kurento,,"KMS is responsible for streaming of webcams, listen-only audio, and screensharing."
bigbluebutton,70,arch,True,True,has_TP,WebRTC-SFU,WebRTC-SFU,The WebRTC-SFU acts as the media controller handling negotiations and to manage the media streams.
bigbluebutton,71,meta,False,False,TN,,,Joining a voice conference.
bigbluebutton,72,arch,True,True,has_TP,FreeSWITCH;HTML5 Client,FreeSWITCH,A user can join the voice conference (running in FreeSWITCH) from the BigBlueButton HTML5 client or through the phone.
bigbluebutton,73,arch,True,True,has_TP,WebRTC-SFU;HTML5 Server;HTML5 Client,WebRTC-SFU;HTML5 Server,"When joining through the client, the user can choose to join Microphone or Listen Only, and the BigBlueButton client will make an audio connection to the server via WebRTC."
bigbluebutton,74,other,False,True,FP_only,,WebRTC-SFU,WebRTC provides the user with high-quality audio with lower delay.
bigbluebutton,75,meta,False,False,TN,,,Uploading a presentation.
bigbluebutton,76,arch,True,False,FN_only,HTML5 Client,,Uploaded presentations go through a conversion process in order to be displayed inside the client.
bigbluebutton,77,impl,False,False,TN,,,"When the uploaded presentation is an Office document, it needs to be converted into PDF using LibreOffice."
bigbluebutton,78,arch,True,True,has_TP,BBB web,BBB web,The PDF document is then converted into scalable vector graphics (SVG) via bbb-web.
bigbluebutton,79,arch,True,True,has_TP,Redis PubSub;HTML5 Client,Redis PubSub,The conversion process sends progress messages to the client through the Redis pubsub.
bigbluebutton,80,meta,True,True,has_TP,Presentation Conversion,Presentation Conversion,Presentation conversion flow.
bigbluebutton,81,meta,True,True,has_TP,Presentation Conversion,Presentation Conversion,The diagram below describes the flow of the presentation conversion.
bigbluebutton,82,impl,False,False,TN,,,"We take in consideration the configuration for enabling and disabling SWF, SVG and PNG conversion."
bigbluebutton,83,meta,False,False,TN,,,Then below the SVG conversion flow.
bigbluebutton,84,impl,False,False,TN,,,It covers the conversion fallback.
bigbluebutton,85,impl,False,False,TN,,,"Sometimes we detect that the generated SVG file is heavy to load by the browser, we use the fallback to put a rasterized image inside the SVG file and make its loading light for the browser."
bigbluebutton,86,meta,False,False,TN,,,Internal network connections.
bigbluebutton,87,meta,False,False,TN,,,The following diagram shows how the various components of BigBlueButton connect to each other via sockets.
